""	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"EgrG_000419800"	-0.523689583117704	4.53417399803479	14.3523509827279	0.0081167439041822	0.0329327858838268
"EgrG_000660600"	-1.38346651420781	2.11714659442301	14.3454951234742	0.00812573186728627	0.0329534938633158
"EgrG_000866700"	-0.484666428732078	5.60070428713019	14.3212764059147	0.0081575875858837	0.0330668767695353
"EgrG_001042300"	0.57090738259655	8.65898981066304	14.3093227774357	0.00817337129164808	0.0331150344022647
"EgrG_000697900"	-0.525916195567096	6.02224664787839	14.2903936485696	0.00819844797043227	0.0331874227637508
"EgrG_000829300"	0.379313432262925	8.40530401332528	14.289931451742	0.00819906154087949	0.0331874227637508
"EgrG_001141600"	-0.749171744596779	5.87619627954579	14.2846645271448	0.00820605770733959	0.0331965288899189
"EgrG_000434700"	-0.842951355093896	5.56579871061207	14.282348280267	0.00820913691785124	0.0331965288899189
"EgrG_002051300"	-1.69592496918551	0.808369155428841	14.2745858942018	0.00821946731786069	0.0332054158117796
"EgrG_000903500"	0.640804506729028	6.8082043848659	14.2743527549903	0.00821977785101273	0.0332054158117796
"EgrG_000809200"	0.63787192179349	6.43984027565063	14.2718771549686	0.00822307621647207	0.0332054158117796
"EgrG_000055600"	0.630106945923323	7.48094887572196	14.2669423702398	0.00822965628313001	0.0332161769296265
"EgrG_000550300"	1.22263293971858	9.34452802853984	14.252208992634	0.00824934318254283	0.0332672313082806
"EgrG_000862400"	0.472983604818894	7.29960257156701	14.2516077501798	0.00825014788691919	0.0332672313082806
"EgrG_000513000"	0.567770288108302	3.16221379595301	14.2425895071084	0.00826223035053292	0.0333001246051883
"EgrG_000570900"	0.62471028081251	6.34262628696472	14.2308675573488	0.00827797007322099	0.0333477198961096
"EgrG_000503700"	-0.584045512758196	5.92481697297351	14.2217658195613	0.00829021875892742	0.0333757001434174
"EgrG_000390600"	0.581694540028205	5.30431885617044	14.2198621990758	0.00829278358113201	0.0333757001434174
"EgrG_000377300"	0.375185699945525	5.49874791526499	14.2141721434066	0.00830045625379908	0.0333907400935189
"EgrG_000358500"	0.664601553895395	6.36479551581536	14.2060117892668	0.00831147630591566	0.0334098066703772
"EgrG_000736300"	0.867400815382324	5.07927345396501	14.2048314433697	0.00831307188604035	0.0334098066703772
"EgrG_001178600"	0.53319725185052	8.45865733104594	14.1929385067451	0.00832917119468723	0.0334586592877493
"EgrG_001107900"	-0.350532944137335	6.19893671562175	14.1891306218247	0.00833433456251508	0.0334635562841353
"EgrG_000753500"	0.965132103363549	6.87182087778111	14.1697248183447	0.00836071384452006	0.0335535933097957
"EgrG_000735000"	1.02033327256077	1.87536708128089	14.1621716136908	0.0083710110487898	0.0335790343914575
"EgrG_001007000"	-0.92571092081625	2.42112652589323	14.1454007282691	0.00839393446100862	0.0336526161484762
"EgrG_001123100"	-0.489557527138455	4.89098761405268	14.1429525827998	0.00839728764572419	0.0336526161484762
"EgrG_001026100"	1.00087179685201	8.18222831046837	14.1294463638765	0.00841581866999233	0.0337012068384483
"EgrG_001181600"	-1.05920403739011	3.48206332463915	14.1259986640599	0.00842055767464312	0.0337012068384483
"EgrG_000601500"	0.400044254092281	5.68652855067218	14.1254374753159	0.00842132938443075	0.0337012068384483
"EgrG_000614100"	-0.526750554692505	7.30018767702287	14.1205354243168	0.00842807432762102	0.0337122973104841
"EgrG_000724800"	-0.585126570360083	8.00673804534419	14.1119340452895	0.0084399265559346	0.0337437968428601
"EgrG_000756800"	-0.463722608955829	6.2456404071845	14.1061095410435	0.00844796488215404	0.0337452034617654
"EgrG_000107900"	-0.578253023064568	6.57661524841195	14.1057263051069	0.00844849413512159	0.0337452034617654
"EgrG_000234600"	0.617058722390364	6.23052624645894	14.1011558674447	0.00845480932909179	0.0337452034617654
