gene_id	ERR337909	ERR337922	ERR337912	ERR337925	ERR337937	ERR337949
EgrG_000104500	399	354	183	183	392	379
EgrG_000104600	1195	1081	1275	1040	1088	1021
EgrG_000104650	192	131	177	114	306	332
EgrG_000104700	103	89	125	71	106	124
EgrG_000104800	1425	1171	1041	874	1198	1267
EgrG_000104900	3570	3137	2627	2176	2492	2595
EgrG_000105000	837	672	1320	1190	1122	1208
EgrG_000105100	82	66	52	23	63	60
EgrG_000105200	240	199	130	118	263	265
EgrG_000105300	497	454	261	258	317	327
EgrG_000105400	277	237	172	146	279	292
EgrG_000105500	289	271	173	139	348	337
EgrG_000105600	1005	872	615	515	1161	1272
EgrG_000105700	291	265	102	77	212	245
EgrG_000105800	103	93	72	51	85	81
EgrG_000105900	1592	1425	1752	1526	1577	1565
EgrG_000106000	2343	2094	4878	4192	2672	2788
EgrG_000106100	0	0	0	0	0	0
EgrG_000106200	713	584	750	620	1361	1430
EgrG_000106300	489	469	366	371	501	500
EgrG_000106400	175	146	111	107	125	130
EgrG_000106500	70	84	64	66	115	119
EgrG_000106600	38	31	17	14	36	38
EgrG_000106700	0	0	1	0	0	0
EgrG_000106800	48	43	41	29	48	44
EgrG_000106900	176	179	71	60	111	128
EgrG_000107000	925	730	481	420	732	772
EgrG_000107110	307	259	115	119	246	241
EgrG_000107120	119	111	55	53	106	107
EgrG_000107200	2304	1992	1050	873	1484	1485
EgrG_000107300	155	116	165	153	260	279
EgrG_000107400	41	33	27	24	44	35
EgrG_000107600	467	416	124	114	272	264
EgrG_000107700	152	123	144	144	177	170
EgrG_000107800	486	389	284	235	325	359
EgrG_000107900	970	833	466	372	745	782
EgrG_000108100	425	398	674	613	684	658
EgrG_000108200	217	133	209	153	244	273
EgrG_000108300	128	111	164	135	139	148
EgrG_000108400	601	493	692	578	740	736
EgrG_000108450	2373	2077	2841	2489	2406	2528
EgrG_000108550	148	119	87	95	275	224
EgrG_000108600	1167	979	598	514	1059	1184
EgrG_000108700	337	256	215	214	258	278
EgrG_000108800	3997	3362	749	648	1654	1645
EgrG_000108900	4	5	7	4	5	6
EgrG_000109000	1	1	0	1	3	2
EgrG_000109100	1715	1448	1622	1420	1329	1298
EgrG_000109200	4486	3964	3103	2769	3922	4009
EgrG_000109300	453	412	779	662	400	396
EgrG_000109400	559	482	664	543	676	738
EgrG_000109500	270	250	201	193	215	212
EgrG_000109600	74	55	179	181	109	106
EgrG_000109700	93	53	115	105	96	102
EgrG_000110000	18360	15633	10069	8635	13029	13518
EgrG_000110300	1311	1074	392	313	445	498
EgrG_000110400	67	69	60	76	37	50
EgrG_000110500	180	149	158	132	287	276
EgrG_000110600	377	317	649	490	360	351
EgrG_000110700	236	219	270	230	322	344
